File_name,Age_group,Gender
1,1,Male
2,1,Female
3,1,Male
4,1,Female
5,1,Male
10,1,Male
12,1,Female
14,0,Female
19,1,Male
22,0,Female
24,1,Male
25,1,Male
26,1,Male
28,1,Male
29,1,Male
30,0,Male
31,1,Male
33,1,Male
36,1,Male
37,1,Male
39,1,Male
40,1,Male
42,1,Female
44,1,Male
45,1,Male
46,1,Male
49,1,Male
52,1,Female
58,1,Male
59,1,Male
61,1,Male
63,1,Male
65,1,Male
66,1,Male
67,1,Male
70,1,Male
71,1,Male
73,1,Male
74,1,Female
75,1,Male
76,1,Male
77,1,Male
78,1,Male
79,1,Female
80,1,Male
81,0,Male
82,1,Male
83,1,Male
84,1,Male
85,1,Male
89,1,Male
91,1,Male
92,1,Male
94,0,Male
95,1,Male
96,1,Male
98,1,Male
99,1,Male
106,0,Female
107,1,Male
108,0,Male
109,1,Male
110,1,Male
113,0,Female
114,1,Male
116,1,Male
117,1,Female
119,1,Male
120,0,Male
121,1,Male
122,1,Male
123,1,Male
124,1,Male
126,0,Male
127,1,Male
128,1,Male
129,1,Female
133,1,Male
134,1,Male
137,1,Male
139,1,Male
140,1,Male
142,1,Male
143,1,Male
144,1,Male
146,1,Female
147,1,Male
148,1,Female
149,1,Male
150,1,Female
151,1,Female
155,1,Male
157,1,Male
159,1,Male
160,1,Male
161,1,Male
162,1,Male
164,1,Male
166,1,Male
168,1,Male
171,1,Male
172,1,Male
173,1,Male
175,1,Male
178,1,Male
179,1,Male
181,1,Male
182,1,Male
183,1,Male
187,1,Male
188,1,Male
189,1,Male
190,1,Male
196,0,Male
205,1,Male
206,1,Male
207,1,Male
208,1,Male
209,0,Female
210,1,Female
211,1,Male
212,1,Male
214,1,Male
215,1,Male
216,1,Male
218,1,Male
219,1,Male
223,1,Male
224,1,Male
225,1,Male
226,1,Male
227,0,Male
229,1,Male
230,1,Male
231,1,Male
232,1,Male
234,1,Male
235,1,Male
236,1,Male
237,1,Male
238,1,Male
239,1,Female
240,1,Male
241,1,Male
242,1,Male
243,1,Male
244,1,Male
245,1,Male
246,2,Female
249,1,Male
253,1,Male
257,1,Male
258,1,Male
259,1,Male
260,1,Female
262,1,Male
263,1,Male
264,1,Male
272,1,Female
274,1,Male
275,1,Female
276,1,Female
277,1,Male
282,1,Female
283,1,Male
284,1,Male
286,1,Male
287,1,Male
288,1,Male
289,1,Male
291,0,Male
292,1,Male
293,1,Female
296,1,Male
297,1,Male
298,1,Male
299,0,Female
300,1,Female
301,1,Male
303,1,Male
304,1,Female
305,1,Male
308,1,Male
309,1,Male
310,1,Male
311,1,Male
313,1,Male
314,1,Male
315,1,Male
316,1,Female
319,1,Male
320,1,Male
323,1,Male
325,1,Male
328,1,Male
329,0,Female
330,0,Male
